,SiteName,lat,lon,matrix_lat,matrix_lon
0,玉山,23.470555555555553,120.94888888888887,160,95
1,雪山,24.38555555555555,121.22305555555555,252,122
2,玉山東峰,23.4725,120.9575,160,96
3,玉山北峰,23.49166666666667,120.95138888888887,162,95
4,玉山南峰,23.44805555555555,120.95055555555555,158,95
5,秀姑巒山,23.49805555555556,121.05055555555555,163,105
6,馬博拉斯山,23.522222222222233,121.05944444444445,165,106
7,東小南山,23.440555555555555,120.95527777777778,157,96
8,南湖大山,24.363611111111112,121.42888888888888,249,143
9,中央尖山,24.328611111111112,121.40777777777778,246,141
10,雪山北峰,24.417222222222215,121.23194444444445,255,123
11,關山,23.230555555555554,120.90333333333334,136,90
12,大水窟山,23.475555555555548,121.03055555555555,161,103
13,南湖大山東峰,24.367777777777786,121.4425,250,144
14,東郡大山,23.628055555555555,121.08416666666666,176,108
15,奇萊主山北峰,24.121666666666666,121.32833333333332,225,133
16,向陽山,23.286388888888887,120.98444444444445,142,98
17,大劍山,24.3425,121.19222222222223,247,119
18,雲峰,23.355555555555558,120.96777777777778,149,97
19,奇萊主峰,24.087777777777767,121.315,222,131
20,馬利加南山,23.53305555555556,121.11027777777777,166,111
21,南湖北山,24.38583333333333,121.42861111111112,252,143
22,大雪山,24.3325,121.11277777777777,246,111
23,品田山,24.43,121.25888888888888,256,126
24,頭鷹山,24.36194444444445,121.1322222222222,249,113
25,三叉山,23.29944444444445,121.02055555555555,143,102
26,大霸尖山,24.461111111111112,121.24972222222222,259,125
27,東巒大山,23.65,121.07361111111106,178,107
28,玉山西峰,23.473888888888887,120.92583333333334,160,93
29,南湖大山南峰,24.34944444444445,121.42666666666668,248,143
30,無明山,24.2575,121.37861111111107,239,138
31,小霸尖山,24.45555555555556,121.24305555555556,259,124
32,馬西山,23.48472222222223,121.16611111111112,161,117
33,合歡山北峰,24.18305555555556,121.27333333333333,231,127
34,合歡山東峰,24.137777777777767,121.27305555555556,227,127
35,合歡山,24.145,121.26305555555555,227,126
36,南玉山,23.43138888888889,120.91694444444445,156,92
37,南大水窟山,23.451666666666664,121.04166666666669,158,104
38,畢祿山,24.215277777777786,121.33916666666666,235,134
39,巴巴山,24.345,121.43,247,143
40,奇萊主山南峰,24.06388888888889,121.27166666666666,219,127
41,能高山南峰,23.96722222222222,121.26833333333332,210,127
42,卓社大山,23.836111111111112,121.10444444444445,197,110
43,白姑大山,24.204722222222234,121.10083333333333,233,110
44,南雙頭山,23.35250000000001,121.01111111111106,148,101
45,新康山,23.31944444444445,121.11944444444444,145,112
46,桃山,24.434166666666666,121.29666666666668,256,130
47,佳陽山,24.308888888888887,121.1797222222222,244,118
48,火石山,24.384166666666665,121.16944444444445,251,117
49,池有山,24.4325,121.28,256,128
50,伊澤山,24.47194444444445,121.23555555555555,260,124
51,卑南主山,23.05333333333333,120.86638888888888,118,87
52,志佳陽大山,24.361666666666668,121.24055555555556,249,124
53,干卓萬山,23.87777777777778,121.13083333333331,201,113
54,太魯閣大山,24.08138888888889,121.41555555555556,221,142
55,鈴鳴山,24.24583333333333,121.34305555555555,238,134
56,轆轆山,23.39305555555556,120.99055555555556,152,99
57,喀西帕南山,23.46694444444445,121.17833333333334,160,118
58,郡大山,23.590555555555554,120.94861111111112,172,95
59,能高山主峰,23.99388888888889,121.25194444444445,212,125
60,丹大山,23.60222222222223,121.20555555555555,173,121
61,萬東山西峰,23.85361111111111,121.17722222222223,198,118
62,劍山,24.298055555555557,121.16055555555555,243,116
63,屏風山,24.151666666666664,121.3347222222222,228,133
64,小關山,23.15333333333333,120.86833333333333,128,87
65,八通關山,23.49222222222223,121.00166666666668,162,100
66,牧山,23.864722222222234,121.15222222222219,199,115
67,玉山前峰,23.477222222222213,120.91027777777781,161,91
68,石門山,24.155,121.27916666666668,228,128
69,塔關山,23.254444444444445,120.93305555555555,138,93
70,無雙山,23.594166666666666,121.04944444444445,172,105
71,馬比杉山,24.35027777777778,121.47805555555556,248,148
72,雪山東峰,24.391111111111112,121.26333333333334,252,126
73,能高北峰,24.04138888888889,121.27777777777777,217,128
74,義西請馬至山,23.58833333333333,121.145,172,114
75,關山嶺山,23.273055555555555,120.95111111111113,140,95
76,海諾南山,23.18861111111111,120.90333333333334,132,90
77,中雪山,24.354722222222232,121.06944444444444,248,107
78,內嶺爾山,23.58083333333333,121.18583333333332,171,119
79,閂山,24.260277777777766,121.30166666666666,239,130
80,甘薯峰,24.292222222222232,121.38111111111112,242,138
81,合歡山西峰,24.179444444444453,121.23638888888892,231,124
82,審馬陣山,24.3825,121.40916666666668,251,141
83,達芬尖山,23.437222222222214,121.005,157,100
84,喀拉業山,24.45194444444445,121.31305555555555,258,131
85,庫哈諾辛山,23.265,120.89,139,89
86,加利山,24.46027777777777,121.2077777777778,259,121
87,駒盆山,23.55,121.02555555555556,168,103
88,白石山,23.90944444444445,121.26666666666668,204,127
89,六順山,23.72472222222222,121.2302777777778,185,123
90,磐石山,24.107222222222234,121.38,224,138
91,帕托魯山,24.10166666666667,121.45833333333334,223,146
92,北大武山,22.629166666666666,120.75194444444445,76,75
93,巒大山,23.695277777777786,120.93916666666668,183,94
94,塔芬山,23.4075,121.01916666666666,154,102
95,立霧主山,24.12638888888889,121.43777777777778,226,144
96,安東軍山,23.87388888888889,121.2577777777778,200,126
97,光頭山,23.939722222222233,121.26277777777777,207,126
98,鹿山,23.452222222222233,120.9802777777778,158,98
99,布拉克桑山,23.235,121.07111111111112,136,107
100,羊頭山,24.21,121.37138888888887,234,137
